GeneID	GO_Term
183703	"GO:0008270,GO:0006355,GO:0005634,GO:0003700"
183704	"GO:0008270,GO:0005515,GO:0051444,GO:0051443,GO:0051440,GO:0051438,GO:0004842"
188822	"GO:0030288,GO:0015035"
189906	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004682"
189945	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004715"
190249	"GO:0042389,GO:0018689,GO:0018688,GO:0016215"
194361	"GO:0008270,GO:0005622,GO:0003676"
200486	"GO:0008270,GO:0005515,GO:0006281,GO:0005634,GO:0003684,GO:0003677,GO:0051444,GO:0051443,GO:0051440,GO:0051438,GO:0004842"
205958	GO:0003968
212826	"GO:0003676,GO:0009664,GO:0005199"
217374	"GO:0030693,GO:0006508"
226787	GO:0016021
226853	"GO:0016021,GO:0004751"
228080	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004707"
247207	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
258742	"GO:0008152,GO:0008080"
263982	"GO:0016491,GO:0006118,GO:0046914,GO:0020037,GO:0010181,GO:0004460"
267605	"GO:0005509,GO:0004682"
272511	"GO:0016020,GO:0006810"
280874	"GO:0045449,GO:0030528,GO:0005634"
293076	GO:0031072
298553	"GO:0005618,GO:0005199"
310082	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004682"
312674	"GO:0008415,GO:0006446,GO:0003743,GO:0016779,GO:0009058,GO:0016740,GO:0005488"
319659	"GO:0007205,GO:0004143,GO:0008152,GO:0003951,GO:0008481"
330601	"GO:0030693,GO:0006508"
338391	"GO:0008270,GO:0005622,GO:0003676"
349284	"GO:0020037,GO:0006979,GO:0006118,GO:0004601,GO:0004130"
349308	"GO:0051444,GO:0051443,GO:0051440,GO:0051438,GO:0004842"
358515	"GO:0051082,GO:0016272,GO:0006457"
363322	"GO:0016021,GO:0008324,GO:0006812"
364519	"GO:0005975,GO:0004553,GO:0004338"
372876	GO:0008152
400858	"GO:0008270,GO:0051444,GO:0051443,GO:0051440,GO:0051438,GO:0004842"
404897	"GO:0008270,GO:0005622,GO:0003676"
409306	"GO:0030955,GO:0006096,GO:0004743,GO:0000287,GO:0003824"
409449	"GO:0005975,GO:0004750,GO:0008152,GO:0003824"
410814	GO:0003968
415524	"GO:0006281,GO:0003908,GO:0003824"
416513	"GO:0016887,GO:0005524,GO:0017111,GO:0000166,GO:0042626,GO:0016021,GO:0006810,GO:0008559"
421859	"GO:0008152,GO:0008080,GO:0004596"
429370	"GO:0008236,GO:0006508,GO:0008234"
429501	"GO:0008236,GO:0006508,GO:0008234"
429555	"GO:0008236,GO:0006508"
447686	GO:0003993
447994	GO:0008869
459788	"GO:0005975,GO:0004553"
464858	"GO:0017111,GO:0000166"
479411	"GO:0006367,GO:0005672,GO:0003702"
486703	"GO:0016491,GO:0006118"
486745	"GO:0051444,GO:0051443,GO:0051440,GO:0051438,GO:0004842"
486978	"GO:0018346,GO:0008318,GO:0004663"
494267	"GO:0030036,GO:0003779"
504443	GO:0016787
504717	"GO:0009058,GO:0017176"
510474	"GO:0006334,GO:0005634,GO:0003677,GO:0000786"
518279	"GO:0016853,GO:0005783,GO:0003756"
521818	GO:0005515
530134	"GO:0016020,GO:0008643,GO:0005351,GO:0016021,GO:0006810,GO:0005215"
550626	GO:0003824
559885	"GO:0030071,GO:0005680,GO:0005515"
563314	"GO:0007165,GO:0005622"
565391	GO:0004364
567254	"GO:0005634,GO:0003677"
570622	GO:0006950
572224	"GO:0045449,GO:0016021,GO:0005634"
573612	"GO:0016021,GO:0006810,GO:0005215,GO:0016020"
578815	"GO:0006259,GO:0005694,GO:0005524"
602042	"GO:0045449,GO:0043565,GO:0005634,GO:0003700"
602912	"GO:0008237,GO:0006508,GO:0046983,GO:0016787"
603367	GO:0016020
613996	"GO:0035023,GO:0005622,GO:0005089,GO:0007242,GO:0005083"
616720	"GO:0016020,GO:0006813,GO:0005267"
620117	"GO:0005975,GO:0004553,GO:0006032,GO:0004568,GO:0008843"
620990	"GO:0006468,GO:0005524,GO:0004674"
628369	"GO:0042545,GO:0030599,GO:0005618"
630920	"GO:0043765,GO:0042578,GO:0004518"
632529	"GO:0005975,GO:0004553,GO:0009044"
639381	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004682"
639585	"GO:0016787,GO:0017023,GO:0017020,GO:0017018,GO:0008597,GO:0008420,GO:0005963,GO:0004724,GO:0004723,GO:0004721"
655346	GO:0005525
661983	"GO:0030170,GO:0006520"
664792	"GO:0006468,GO:0005524,GO:0004672"
