"","gene","p.val","rank"
"1962","2835697",0.00453218951215424,2.34369193853458
"1963","2845881",0.00454714698092904,2.34226100753345
"1964","2831718",0.00456256327241203,2.34079109981353
"1965","2768593",0.00456415046316653,2.3406400469344
"1966","2852841",0.00458996041189007,2.33819106020824
"1967","2915920",0.00459214733567375,2.33798418636714
"1968","2859069",0.00461539026332729,2.33579157046828
"1969","2896045",0.00461595081368925,2.33573882755101
"1970","2983476",0.00461790341007372,2.33555515520202
"1971","2979348",0.00462060077701798,2.33530155319262
"1972","2768505",0.00462320875111664,2.33505649647945
"1973","2775447",0.00463891273489592,2.3335837971535
"1974","631630",0.00464070093852302,2.3334164179921
"1975","2845955",0.00464602120996332,2.33291881189502
"1976","436572",0.0046686943683191,2.33080455581798
"1977","2768710",0.00467356484307251,2.33035172734182
"1978","2775434",0.00468343144940123,2.32943583208272
"1979","2851981",0.00468605446989251,2.32919266754523
"1980","2978982",0.00469358588841323,2.32849523052581
"1981","2845608",0.00469825657299675,2.32806326997772
"1982","809232",0.00471304204265523,2.3266986861025
"1983","2073193",0.00472393601328991,2.32569599362908
"1984","2836858",0.00473339414018181,2.32482733120087
"1985","2873786",0.00473942240648338,2.32427458257944
"1986","2866917",0.00474047297435239,2.32417832501289
"1987","2848105",0.00475683883341871,2.32268156267357
"1988","2850306",0.00478242933595967,2.3203514382854
"1989","2774334",0.00479613873396196,2.31910826291208
"1990","2867910",0.00479866426888776,2.3188796337454
"1991","283006",0.00480150449442522,2.31862266028073
"1992","2764495",0.00480619450297257,2.31819865761484
"1993","2858979",0.00481094258842068,2.3177698257374
"1994","2848174",0.00482111422362609,2.31685257892918
"1995","71471",0.00483033649993035,2.31602261356061
"1996","2848824",0.00483060839453341,2.31599816826523
"1997","2892767",0.00483360092305413,2.31572920913524
"1998","2866240",0.00486670834673434,2.31276467948059
"1999","11967",0.00486803628111103,2.31264619366555
"2000","2914823",0.00488666043679158,2.31098783808483
"2001","2849479",0.00489411622331067,2.31032572142821
"2002","2759664",0.004917435343059,2.30826134169582
"2003","2480714",0.00493015897620018,2.30713907638741
"2004","2824189",0.00493251555891287,2.30693153615396
"2005","2139246",0.0049483126399588,2.30554286896217
"2006","2850709",0.00495506887136345,2.30495030480227
"2007","24237",0.0049619578919454,2.30434692554816
"2008","2923347",0.00496225329365108,2.304321071336
"2009","2432158",0.00497027229675761,2.30361981775764
"2010","2903577",0.00497942725357987,2.30282060802635
"2011","2865811",0.00498445385488159,2.30238242026207
"2012","2864885",0.0049871475915762,2.30214777891245
"2013","2868432",0.00498737699077007,2.3021278026613
"2014","2850160",0.00499037819617023,2.30186654009087
"2015","610558",0.00499360144165552,2.30158612329767
"2016","2842336",0.00500113817740466,2.30093114608114
"2017","2866466",0.00501153350785069,2.30002936153965
"2018","2851112",0.00501364487687858,2.29984643094302
"2019","2912795",0.00501757723213823,2.29950593399079
"2020","2831267",0.00502377755978762,2.29896959831056
"2021","10017",0.00503003265534293,2.29842919546312
"2022","2325858",0.00503174057755668,2.29828175799203
"2023","2616788",0.0050628669618765,2.29560348451955
"2024","2305198",0.00506970374146134,2.29501741881417
"2025","2760047",0.00507410120776497,2.29464087461222
"2026","2867312",0.00508377349831178,2.29381380717874
"2027","803334",0.00508909683222547,2.29335928555801
"2028","2761488",0.00509456851103346,2.29289259305356
"2029","1424545",0.00510073371274081,2.29236734851467
"2030","2857653",0.00510715648907967,2.29182083466403
"2031","2871726",0.00511260891428306,2.29135742707882
"2032","25409",0.00511866363194689,2.29084340875589
"2033","2924205",0.00512513004332458,2.2902951104904
"2034","2902185",0.00512746070896462,2.29009765888651
"2035","2771064",0.00513926430759605,2.28909904637812
"2036","2846821",0.00514361708636646,2.2887313696849
"2037","2779538",0.00514670602933536,2.28847063716727
"2038","69333",0.00515421683812075,2.28783731461352
"2039","2680832",0.00515806847124437,2.28751289707861
"2040","2917112",0.00516725818774941,2.28673983790983
"2041","2777986",0.0051889187401567,2.28492313041856
"2042","2805843",0.00519541478327629,2.28437977420938
"2043","2864945",0.00520033042349359,2.28396906087657
"2044","2850642",0.00521569193952081,2.28268806775873
"2045","2818099",0.00522045506108248,2.28229163839559
"2046","2861781",0.00522183398354883,2.28217693970855
"2047","31777",0.00522333857698738,2.28205182226724
"2048","2912336",0.0052524167771968,2.27964082011964
"2049","2306286",0.00525248226369125,2.27963540542254
"2050","2858637",0.00526238333574486,2.27881751912851
"2051","2869007",0.00527550577291878,2.2777358973842
"2052","2917763",0.00529158079616683,2.27641456832481
"2053","2855322",0.00529580878843679,2.27606770401132
"2054","2784155",0.00530049412640028,2.27568364240561
"2055","2905480",0.00530702006541101,2.27514927033541
"2056","2978841",0.00530975846891338,2.27492523372152
"2057","2869100",0.00531154820531842,2.2747788726991
"2058","2860636",0.00532030293097624,2.27406363885047
"2059","2865023",0.0053228110250756,2.27385895224238
"2060","2950645",0.00533954983750386,2.27249535557986
"2061","2793800",0.00534806906128738,2.27180299319346
"2062","2857082",0.00540063430152946,2.26755522953326
"2063","2851807",0.00540207074685286,2.26743973248351
"2064","2604464",0.00540646282949033,2.26708677852449
"2065","2785424",0.00541247440819855,2.26660414410822
"2066","2852273",0.00541420587435386,2.26646523427
"2067","2846064",0.00542096450451308,2.26592343639116
"2068","2916022",0.0054223914430202,2.26580913385858
"2069","810542",0.00545317471512285,2.26335058766102
"2070","2892293",0.00545414581667125,2.26327325536961
"2071","2863258",0.00545423039991663,2.26326652035497
"2072","2838291",0.00545614388532713,2.26311418531279
"2073","2868355",0.00545733291380746,2.26301955213229
"2074","2865242",0.00546114837180426,2.26271602412724
"2075","1865046",0.00546590659277971,2.26233779426556
"2076","2779181",0.00550089887038609,2.25956633913258
"2077","2866469",0.00550838752115603,2.25897551424308
"2078","2893219",0.00551612996892987,2.25836550969632
"2079","2898974",0.00551669291449147,2.25832119027711
"2080","2857929",0.00552493670101542,2.25767269330931
"2081","484601",0.00552512871414588,2.25765760014201
"2082","2924710",0.00553254026795989,2.25707541642662
"2083","2859008",0.00556084479321351,2.25485922619474
"2084","2857377",0.0055738122901246,2.25384766115837
"2085","2825432",0.00558123941206909,2.25326934764811
"2086","2962998",0.00558682740603032,2.25283474510063
"2087","2851512",0.00559377008918572,2.25229538763376
"2088","80384",0.00561109614951671,2.2509522893349
"2089","2862466",0.00561688192782062,2.25050470530935
"2090","47847",0.00561970642377868,2.2502863715952
"2091","2986455",0.00562192006313492,2.25011533382396
"2092","2860182",0.00563190415051676,2.24934474506905
"2093","2858663",0.00563357630356095,2.2492158190373
"2094","2912654",0.00564279358452497,2.24850583609207
"2095","2448931",0.00564631442365126,2.24823494116349
"2096","2900987",0.00565952544369498,2.24721998326846
"2097","2897760",0.00566272780448559,2.24697431350167
"2098","2333040",0.00567102618944232,2.24633834708818
"2099","88195",0.00568439875232981,2.24531546454782
"2100","2831246",0.00568586492759721,2.24520346154603
"2101","2843271",0.00570790137978342,2.24352353916388
"2102","2447550",0.00571512825093787,2.24297401932825
"2103","1237473",0.00571710154556123,2.2428240938999
"2104","2784543",0.005749746679504,2.24035128889594
"2105","2977138",0.00576677763578316,2.23906679445597
"2106","2861038",0.00579630331641566,2.23684889628594
"2107","2983357",0.00579922850196317,2.23662977878643
"2108","2847351",0.00582983803850232,2.23434351041453
"2109","2901162",0.0058350439271684,2.23395587016616
"2110","2852119",0.00583555544698553,2.2339178001019
"2111","2858375",0.00587517461348771,2.23097922138861
"2112","2865803",0.00588529167799952,2.2302320084354
"2113","2779832",0.005950915748622,2.22541619830983
"2114","2371954",0.00595608566003662,2.22503906487995
"2115","2215409",0.0059864530433146,2.22283041967651
